Network,Alpha2code,Region,City
2a02:88c:2028::/48,SA,SA-01,Riyadh
2a02:88c:2029::/48,SA,SA-01,Riyadh
2a02:88c:202a::/48,SA,SA-01,Riyadh
2a02:88c:202b::/48,SA,SA-01,Riyadh
2a02:88c:202c::/48,SA,SA-01,Riyadh
2a02:88c:202d::/48,SA,SA-01,Riyadh
2a02:88c:202e::/48,SA,SA-01,Riyadh
2a02:88c:202f::/48,SA,SA-01,Riyadh
2a02:88c:5000::/48,SA,SA-04,Eastern
2a02:88c:5001::/48,SA,SA-04,Eastern
2a02:88c:5002::/48,SA,SA-04,Eastern
2a02:88c:5003::/48,SA,SA-04,Eastern
2a02:88c:5004::/48,SA,SA-04,Eastern
2a02:88c:5005::/48,SA,SA-04,Eastern
2a02:88c:5006::/48,SA,SA-04,Eastern
2a02:88c:5007::/48,SA,SA-04,Eastern
2a02:88c:5008::/48,SA,SA-04,Eastern
2a02:88c:5009::/48,SA,SA-04,Eastern
2a02:88c:500a::/48,SA,SA-04,Eastern
2a02:88c:500b::/48,SA,SA-04,Eastern
2a02:88c:500c::/48,SA,SA-04,Eastern
2a02:88c:500d::/48,SA,SA-04,Eastern
2a02:88c:500e::/48,SA,SA-04,Eastern
2a02:88c:500f::/48,SA,SA-04,Eastern
2a02:88c:5010::/48,SA,SA-04,Eastern
2a02:88c:5011::/48,SA,SA-04,Eastern
2a02:88c:5012::/48,SA,SA-04,Eastern
2a02:88c:5013::/48,SA,SA-04,Eastern
2a02:88c:5014::/48,SA,SA-04,Eastern
2a02:88c:5015::/48,SA,SA-04,Eastern
2a02:88c:5016::/48,SA,SA-04,Eastern
2a02:88c:5017::/48,SA,SA-04,Eastern
2a02:88c:5018::/48,SA,SA-04,Eastern
2a02:88c:5019::/48,SA,SA-04,Eastern
2a02:88c:501a::/48,SA,SA-04,Eastern
2a02:88c:501b::/48,SA,SA-04,Eastern
2a02:88c:501c::/48,SA,SA-04,Eastern
2a02:88c:501d::/48,SA,SA-04,Eastern
2a02:88c:501e::/48,SA,SA-04,Eastern
2a02:88c:501f::/48,SA,SA-04,Eastern
2a02:88c:5020::/48,SA,SA-04,Eastern
2a02:88c:5021::/48,SA,SA-04,Eastern
2a02:88c:5022::/48,SA,SA-04,Eastern
2a02:88c:5023::/48,SA,SA-04,Eastern
2a02:88c:5024::/48,SA,SA-04,Eastern
2a02:88c:5025::/48,SA,SA-04,Eastern
2a02:88c:5026::/48,SA,SA-04,Eastern
2a02:88c:5027::/48,SA,SA-04,Eastern
2a02:88c:5028::/48,SA,SA-04,Eastern
2a02:88c:5029::/48,SA,SA-04,Eastern
2a02:88c:502a::/48,SA,SA-04,Eastern
2a02:88c:502b::/48,SA,SA-04,Eastern
2a02:88c:502c::/48,SA,SA-04,Eastern
2a02:88c:502d::/48,SA,SA-04,Eastern
2a02:88c:502e::/48,SA,SA-04,Eastern
2a02:88c:502f::/48,SA,SA-04,Eastern
2a02:88c:d000::/48,SA,SA-02,Western
2a02:88c:d001::/48,SA,SA-02,Western
2a02:88c:d002::/48,SA,SA-02,Western
2a02:88c:d003::/48,SA,SA-02,Western
2a02:88c:d004::/48,SA,SA-02,Western
2a02:88c:d005::/48,SA,SA-02,Western
2a02:88c:d006::/48,SA,SA-02,Western
2a02:88c:d007::/48,SA,SA-02,Western
2a02:88c:d008::/48,SA,SA-02,Western
2a02:88c:d009::/48,SA,SA-02,Western
2a02:88c:d00a::/48,SA,SA-02,Western
2a02:88c:d00b::/48,SA,SA-02,Western
2a02:88c:d00c::/48,SA,SA-02,Western
2a02:88c:d00d::/48,SA,SA-02,Western
2a02:88c:d00e::/48,SA,SA-02,Western
2a02:88c:d00f::/48,SA,SA-02,Western
2a02:88c:d010::/48,SA,SA-02,Western
2a02:88c:d011::/48,SA,SA-02,Western
2a02:88c:d012::/48,SA,SA-02,Western
2a02:88c:d013::/48,SA,SA-02,Western
2a02:88c:d014::/48,SA,SA-02,Western
2a02:88c:d015::/48,SA,SA-02,Western
2a02:88c:d016::/48,SA,SA-02,Western
2a02:88c:d017::/48,SA,SA-02,Western
2a02:88c:d018::/48,SA,SA-02,Western
2a02:88c:d019::/48,SA,SA-02,Western
2a02:88c:d01a::/48,SA,SA-02,Western
2a02:88c:d01b::/48,SA,SA-02,Western
2a02:88c:d01c::/48,SA,SA-02,Western
2a02:88c:d01d::/48,SA,SA-02,Western
2a02:88c:d01e::/48,SA,SA-02,Western
2a02:88c:d01f::/48,SA,SA-02,Western
2a02:88c:d020::/48,SA,SA-02,Western
2a02:88c:d021::/48,SA,SA-02,Western
2a02:88c:d022::/48,SA,SA-02,Western
2a02:88c:d023::/48,SA,SA-02,Western
2a02:88c:d024::/48,SA,SA-02,Western
2a02:88c:d025::/48,SA,SA-02,Western
2a02:88c:d026::/48,SA,SA-02,Western
2a02:88c:d027::/48,SA,SA-02,Western
2a02:88c:d028::/48,SA,SA-02,Western
2a02:88c:d029::/48,SA,SA-02,Western
2a02:88c:d02a::/48,SA,SA-02,Western
2a02:88c:d02b::/48,SA,SA-02,Western
2a02:88c:d02c::/48,SA,SA-02,Western
2a02:88c:d02d::/48,SA,SA-02,Western
2a02:88c:d02e::/48,SA,SA-02,Western
2a02:88c:d02f::/48,SA,SA-02,Western
