Network,Alpha2code,Region,City
2a02:88c:9000::/48,SA,SA-01,Riyadh
2a02:88c:9001::/48,SA,SA-01,Riyadh
2a02:88c:9002::/48,SA,SA-01,Riyadh
2a02:88c:9003::/48,SA,SA-01,Riyadh
2a02:88c:9004::/48,SA,SA-01,Riyadh
2a02:88c:9005::/48,SA,SA-01,Riyadh
2a02:88c:9006::/48,SA,SA-01,Riyadh
2a02:88c:9007::/48,SA,SA-01,Riyadh
2a02:88c:9008::/48,SA,SA-01,Riyadh
2a02:88c:9009::/48,SA,SA-01,Riyadh
2a02:88c:900a::/48,SA,SA-01,Riyadh
2a02:88c:900b::/48,SA,SA-01,Riyadh
2a02:88c:900c::/48,SA,SA-01,Riyadh
2a02:88c:900d::/48,SA,SA-01,Riyadh
2a02:88c:900e::/48,SA,SA-01,Riyadh
2a02:88c:900f::/48,SA,SA-01,Riyadh
2a02:88c:9010::/48,SA,SA-01,Riyadh
2a02:88c:9011::/48,SA,SA-01,Riyadh
2a02:88c:9012::/48,SA,SA-01,Riyadh
2a02:88c:9013::/48,SA,SA-01,Riyadh
2a02:88c:9014::/48,SA,SA-01,Riyadh
2a02:88c:9015::/48,SA,SA-01,Riyadh
2a02:88c:9016::/48,SA,SA-01,Riyadh
2a02:88c:9017::/48,SA,SA-01,Riyadh
2a02:88c:9018::/48,SA,SA-01,Riyadh
2a02:88c:9019::/48,SA,SA-01,Riyadh
2a02:88c:901a::/48,SA,SA-01,Riyadh
2a02:88c:901b::/48,SA,SA-01,Riyadh
2a02:88c:901c::/48,SA,SA-01,Riyadh
2a02:88c:901d::/48,SA,SA-01,Riyadh
2a02:88c:901e::/48,SA,SA-01,Riyadh
2a02:88c:901f::/48,SA,SA-01,Riyadh
2a02:88c:9020::/48,SA,SA-01,Riyadh
2a02:88c:9021::/48,SA,SA-01,Riyadh
2a02:88c:9022::/48,SA,SA-01,Riyadh
2a02:88c:9023::/48,SA,SA-01,Riyadh
2a02:88c:9024::/48,SA,SA-01,Riyadh
2a02:88c:9025::/48,SA,SA-01,Riyadh
2a02:88c:9026::/48,SA,SA-01,Riyadh
2a02:88c:9027::/48,SA,SA-01,Riyadh
2a02:88c:9028::/48,SA,SA-01,Riyadh
2a02:88c:9029::/48,SA,SA-01,Riyadh
2a02:88c:902a::/48,SA,SA-01,Riyadh
2a02:88c:902b::/48,SA,SA-01,Riyadh
2a02:88c:902c::/48,SA,SA-01,Riyadh
2a02:88c:902d::/48,SA,SA-01,Riyadh
2a02:88c:902e::/48,SA,SA-01,Riyadh
2a02:88c:902f::/48,SA,SA-01,Riyadh
2a02:88c:1000::/48,SA,SA-01,Riyadh
2a02:88c:1001::/48,SA,SA-01,Riyadh
2a02:88c:1002::/48,SA,SA-01,Riyadh
2a02:88c:1003::/48,SA,SA-01,Riyadh
2a02:88c:1004::/48,SA,SA-01,Riyadh
2a02:88c:1005::/48,SA,SA-01,Riyadh
2a02:88c:1006::/48,SA,SA-01,Riyadh
2a02:88c:1007::/48,SA,SA-01,Riyadh
2a02:88c:1008::/48,SA,SA-01,Riyadh
2a02:88c:1009::/48,SA,SA-01,Riyadh
2a02:88c:100a::/48,SA,SA-01,Riyadh
2a02:88c:100b::/48,SA,SA-01,Riyadh
2a02:88c:100c::/48,SA,SA-01,Riyadh
2a02:88c:100d::/48,SA,SA-01,Riyadh
2a02:88c:100e::/48,SA,SA-01,Riyadh
2a02:88c:100f::/48,SA,SA-01,Riyadh
2a02:88c:1010::/48,SA,SA-01,Riyadh
2a02:88c:1011::/48,SA,SA-01,Riyadh
2a02:88c:1012::/48,SA,SA-01,Riyadh
2a02:88c:1013::/48,SA,SA-01,Riyadh
2a02:88c:1014::/48,SA,SA-01,Riyadh
2a02:88c:1015::/48,SA,SA-01,Riyadh
2a02:88c:1016::/48,SA,SA-01,Riyadh
2a02:88c:1017::/48,SA,SA-01,Riyadh
2a02:88c:1018::/48,SA,SA-01,Riyadh
2a02:88c:1019::/48,SA,SA-01,Riyadh
2a02:88c:101a::/48,SA,SA-01,Riyadh
2a02:88c:101b::/48,SA,SA-01,Riyadh
2a02:88c:101c::/48,SA,SA-01,Riyadh
2a02:88c:101d::/48,SA,SA-01,Riyadh
2a02:88c:101e::/48,SA,SA-01,Riyadh
2a02:88c:101f::/48,SA,SA-01,Riyadh
2a02:88c:1020::/48,SA,SA-01,Riyadh
2a02:88c:1021::/48,SA,SA-01,Riyadh
2a02:88c:1022::/48,SA,SA-01,Riyadh
2a02:88c:1023::/48,SA,SA-01,Riyadh
2a02:88c:1024::/48,SA,SA-01,Riyadh
2a02:88c:1025::/48,SA,SA-01,Riyadh
2a02:88c:1026::/48,SA,SA-01,Riyadh
2a02:88c:1027::/48,SA,SA-01,Riyadh
2a02:88c:1028::/48,SA,SA-01,Riyadh
2a02:88c:1029::/48,SA,SA-01,Riyadh
2a02:88c:102a::/48,SA,SA-01,Riyadh
2a02:88c:102b::/48,SA,SA-01,Riyadh
2a02:88c:102c::/48,SA,SA-01,Riyadh
2a02:88c:102d::/48,SA,SA-01,Riyadh
2a02:88c:102e::/48,SA,SA-01,Riyadh
2a02:88c:102f::/48,SA,SA-01,Riyadh
2a02:88c:2000::/48,SA,SA-01,Riyadh
2a02:88c:2001::/48,SA,SA-01,Riyadh
2a02:88c:2002::/48,SA,SA-01,Riyadh
2a02:88c:2003::/48,SA,SA-01,Riyadh
2a02:88c:2004::/48,SA,SA-01,Riyadh
2a02:88c:2005::/48,SA,SA-01,Riyadh
2a02:88c:2006::/48,SA,SA-01,Riyadh
2a02:88c:2007::/48,SA,SA-01,Riyadh
2a02:88c:2008::/48,SA,SA-01,Riyadh
2a02:88c:2009::/48,SA,SA-01,Riyadh
2a02:88c:200a::/48,SA,SA-01,Riyadh
2a02:88c:200b::/48,SA,SA-01,Riyadh
2a02:88c:200c::/48,SA,SA-01,Riyadh
2a02:88c:200d::/48,SA,SA-01,Riyadh
2a02:88c:200e::/48,SA,SA-01,Riyadh
2a02:88c:200f::/48,SA,SA-01,Riyadh
2a02:88c:2010::/48,SA,SA-01,Riyadh
2a02:88c:2011::/48,SA,SA-01,Riyadh
2a02:88c:2012::/48,SA,SA-01,Riyadh
2a02:88c:2013::/48,SA,SA-01,Riyadh
2a02:88c:2014::/48,SA,SA-01,Riyadh
2a02:88c:2015::/48,SA,SA-01,Riyadh
2a02:88c:2016::/48,SA,SA-01,Riyadh
2a02:88c:2017::/48,SA,SA-01,Riyadh
2a02:88c:2018::/48,SA,SA-01,Riyadh
2a02:88c:2019::/48,SA,SA-01,Riyadh
2a02:88c:201a::/48,SA,SA-01,Riyadh
2a02:88c:201b::/48,SA,SA-01,Riyadh
2a02:88c:201c::/48,SA,SA-01,Riyadh
2a02:88c:201d::/48,SA,SA-01,Riyadh
2a02:88c:201e::/48,SA,SA-01,Riyadh
2a02:88c:201f::/48,SA,SA-01,Riyadh
2a02:88c:2020::/48,SA,SA-01,Riyadh
2a02:88c:2021::/48,SA,SA-01,Riyadh
2a02:88c:2022::/48,SA,SA-01,Riyadh
2a02:88c:2023::/48,SA,SA-01,Riyadh
2a02:88c:2024::/48,SA,SA-01,Riyadh
2a02:88c:2025::/48,SA,SA-01,Riyadh
2a02:88c:2026::/48,SA,SA-01,Riyadh
2a02:88c:2027::/48,SA,SA-01,Riyadh
