Network,Alpha2code,Region,City,Postal code 
2A02:88D:811B::/48,SA,SA-01,Riyadh,
2A02:88D:811C::/48,SA,SA-01,Riyadh,
2A02:88D:811D::/48,SA,SA-01,Riyadh,
2A02:88D:811E::/48,SA,SA-01,Riyadh,
2A02:88D:8111::/48,SA,SA-01,Riyadh,
2A02:88D:8112::/48,SA,SA-01,Riyadh,
2A02:88D:8113::/48,SA,SA-01,Riyadh,
2A02:88D:8114::/48,SA,SA-01,Riyadh,
2A02:88D:8115::/48,SA,SA-01,Riyadh,
2A02:88D:8116::/48,SA,SA-01,Riyadh,
2A02:88D:8117::/48,SA,SA-01,Riyadh,
2A02:88D:8118::/48,SA,SA-01,Riyadh,
2A02:88D:8120::/48,SA,SA-01,Riyadh,
2A02:88D:812F::/64,SA,SA-01,Riyadh,
2A02:88D:8129::/48,SA,SA-01,Riyadh,
2A02:88D:812A::/48,SA,SA-01,Riyadh,
2A02:88D:812B::/48,SA,SA-01,Riyadh,
2A02:88D:812C::/48,SA,SA-01,Riyadh,
2A02:88D:812D::/48,SA,SA-01,Riyadh,
2A02:88D:812E::/48,SA,SA-01,Riyadh,
2A02:88D:8121::/48,SA,SA-01,Riyadh,
2A02:88D:8122::/48,SA,SA-01,Riyadh,
2A02:88D:8123::/48,SA,SA-01,Riyadh,
2A02:88D:8124::/48,SA,SA-01,Riyadh,
2A02:88D:8125::/48,SA,SA-01,Riyadh,
2A02:88D:8126::/48,SA,SA-01,Riyadh,
2A02:88D:8127::/48,SA,SA-01,Riyadh,
2A02:88D:8128::/48,SA,SA-01,Riyadh,
2A02:88D:8100::/48,SA,SA-01,Riyadh,
2A02:88D:810F::/64,SA,SA-01,Riyadh,
2A02:88D:8109::/48,SA,SA-01,Riyadh,
2A02:88D:810A::/48,SA,SA-01,Riyadh,
2A02:88D:810B::/48,SA,SA-01,Riyadh,
2A02:88D:810C::/48,SA,SA-01,Riyadh,
2A02:88D:810D::/48,SA,SA-01,Riyadh,
2A02:88D:810E::/48,SA,SA-01,Riyadh,
