Network,Alpha2code,Region,City
 188.249.162.0/24,SA,SA-01,Riyadh
 188.249.163.0/24,SA,SA-01,Riyadh
 188.249.164.0/24,SA,SA-01,Riyadh
 188.249.165.0/24,SA,SA-01,Riyadh
 188.249.166.0/24,SA,SA-01,Riyadh
 188.249.168.0/24,SA,SA-01,Riyadh
 188.249.169.0/24,SA,SA-01,Riyadh
 188.249.170.0/24,SA,SA-01,Riyadh
 188.249.171.0/24,SA,SA-01,Riyadh
 188.249.172.0/24,SA,SA-01,Riyadh
 188.249.173.0/24,SA,SA-01,Riyadh
 188.249.174.0/24,SA,SA-01,Riyadh
 188.249.175.0/24,SA,SA-01,Riyadh
 188.249.193.0/24,SA,SA-01,Riyadh
 188.249.194.0/24,SA,SA-01,Riyadh
 188.249.195.0/24,SA,SA-01,Riyadh
 188.249.196.0/24,SA,SA-01,Riyadh
 188.249.197.0/24,SA,SA-01,Riyadh
 188.249.198.0/24,SA,SA-01,Riyadh
 188.249.199.0/24,SA,SA-01,Riyadh
 188.249.200.0/24,SA,SA-01,Riyadh
 188.249.201.0/24,SA,SA-01,Riyadh
 188.249.202.0/24,SA,SA-01,Riyadh
 188.249.203.0/24,SA,SA-01,Riyadh
 188.249.204.0/24,SA,SA-01,Riyadh
 188.249.205.0/24,SA,SA-01,Riyadh
 188.249.206.0/24,SA,SA-01,Riyadh
 188.249.207.0/24,SA,SA-01,Riyadh
 46.184.65.0/24,SA,SA-01,Riyadh
 46.184.66.0/24,SA,SA-01,Riyadh
188.248.104.0/24,SA,SA-01,Riyadh
188.248.132.0/24,SA,SA-01,Riyadh
188.248.155.0/24,SA,SA-01,Riyadh
188.248.170.0/24,SA,SA-01,Riyadh
188.248.180.0/24,SA,SA-01,Riyadh
188.248.200.0/24,SA,SA-01,Riyadh
188.248.81.0/24,SA,SA-01,Riyadh
188.249.167.0/24,SA,SA-01,Riyadh
188.249.192.0/24,SA,SA-01,Riyadh
46.184.64.0/24,SA,SA-01,Riyadh
 188.248.219.0/24,SA,SA-01,Riyadh
 188.248.220.0/24,SA,SA-01,Riyadh
 188.248.221.0/24,SA,SA-01,Riyadh
 188.248.222.0/24,SA,SA-01,Riyadh
 188.248.223.0/24,SA,SA-01,Riyadh
 188.248.224.0/24,SA,SA-01,Riyadh
 188.248.225.0/24,SA,SA-01,Riyadh
 188.248.226.0/24,SA,SA-01,Riyadh
 46.184.62.0/24,SA,SA-01,Riyadh
 46.184.63.0/24,SA,SA-01,Riyadh
 46.184.67.0/24,SA,SA-01,Riyadh
 94.77.217.0/24,SA,SA-01,Riyadh
 94.77.219.0/24,SA,SA-01,Riyadh
 94.77.221.0/24,SA,SA-01,Riyadh
 94.77.223.0/24,SA,SA-01,Riyadh
 94.77.229.0/24,SA,SA-01,Riyadh
188.249.125.0/24,SA,SA-01,Riyadh
